Semaine,Jour,Repas,Plat,Ingrédients,Recette,Image,Lien,No. Ref.
"1","Lundi","Déjeuner","Yogourt grec garni","4 tasses (environ 1 kg) de yogourt grec nature\n1 1/4 tasse de granola\n5 c. à soupe de graines de chanvre\n1 mangue entière, coupée en dés\n1 pomme entière, coupée en dés","Dans 5 bols, répartir le yogourt grec.\nGarnir joliment avec le granola, les graines de chanvre, les dés de mangue et de pomme.","https://images.unsplash.com/photo-1571212515416-fef01fc43637","","1"
"1","Lundi","Souper","Saucisses italiennes et couscous aux légumes","12 à 14 saucisses italiennes ou merguez\n30 ml (2 c. à soupe) d’huile d’olive\n1 boîte de tomates en dés de 796 ml\n500 ml (2 tasses) de bouillon de poulet\n15 ml (1 c. à soupe) d’assaisonnements pour couscous\n2 courgettes, coupées en cubes\n1 boîte de pois chiches de 540 ml, rincés\n2 poivrons de couleurs variées émincés\n500 ml (2 tasses) de bouillon de poulet\n500 ml (2 tasses) de couscous sec\nSel et poivre au goût","Dans une grande poêle, chauffer l’huile à feu moyen. Cuire les saucisses de 4 à 5 minutes. Réserver.\nDans la même poêle, déposer les tomates en dés, le bouillon et les assaisonnements. Porter à ébullition, puis laisser mijoter 10 minutes.","https://www.lesgarsdesaucisse.com/wp-content/uploads/2021/03/salade-tiede-couscous-saucisse-1160x650-BS007120-pub-67290-01.jpg","","1"
"1","Mardi","Déjeuner","Rôties au beurre d'arachide et banane","10 tranches de pain de grains entiers\n1/2 tasse (125 ml) de beurre d'arachide naturel\n2 à 3 bananes, en rondelles","Faire griller les tranches de pain.\nPendant qu'elles sont encore chaudes, tartiner de beurre d'arachide.\nDisposer les rondelles de banane sur le dessus. Servir aussitôt.","https://images.unsplash.com/photo-1528740096961-3798add19cb7","","1"
"1","Mardi","Souper","Tacos au bœuf haché","Pour le bœuf haché :\n750 g de bœuf haché mi-maigre\n1 oignon jaune, haché\n2 gousses d'ail, hachées\n1 c. à soupe d'huile végétale\n1.5 c. à soupe de poudre de chili\n2 c. à thé de cumin moulu\n1 c. à thé de paprika fumé\n3/4 tasse (180 ml) de bouillon de bœuf\nSel et poivre\n\nPour le guacamole simple :\n3 avocats mûrs\nLe jus d’une lime\nSel\n\nPour servir :\n15 à 18 coquilles à tacos\n2 tasses (500 ml) de fromage râpé\nCrème sure, salsa, laitue émincée, tomates en dés","Cuire le bœuf : Dans une poêle, faire revenir l'oignon, l'ail et le bœuf haché jusqu'à ce qu'il soit bruni. Égoutter le gras.\nAssaisonner : Ajouter les épices, bien mélanger. Verser le bouillon, porter à ébullition, puis laisser mijoter 5-10 minutes.\nPréparer le guacamole : Écraser les avocats avec le jus de lime et le sel.\nAssemblage : Chauffer les coquilles. Disposer toutes les garnitures dans des bols de service. Laisser chacun garnir ses tacos.","","","1"
"1","Mercredi","Déjeuner","Œufs brouillés et rôties","10 à 12 œufs\n1/3 tasse (80 ml) de lait ou de crème\n1 c. à soupe de beurre\nSel et poivre\n10 tranches de pain pour les rôties\nUn grand bol de fruits frais mélangés","Dans un bol, fouetter les œufs, le lait, le sel et le poivre.\nFaire fondre le beurre dans une poêle antiadhésive à feu moyen-doux.\nVerser le mélange d'œufs et cuire doucement en ramenant les bords vers le centre jusqu'à consistance crémeuse.\nPendant ce temps, faire griller le pain.\nServir les œufs chauds avec les rôties et les fruits frais.","","","1"
"1","Mercredi","Souper","Saumon à la plaque et légumes","5 filets de saumon (environ 180 g chacun)\n2 bottes d'asperges, parées\n400 g de haricots verts frais, équeutés\n3 c. à soupe d'huile d'olive\n1 citron (jus et zeste)\n2 gousses d'ail, hachées\nHerbes fraîches (aneth ou persil)\nSel et poivre\n1.5 tasse (300g) de riz sec, à cuire pour servir","Préchauffer le four à 200°C (400°F).\nSur une plaque, mélanger les légumes avec 2 c. à soupe d'huile, sel et poivre. Rôtir 10 minutes.\nPendant ce temps, mélanger le reste de l'huile, le jus de citron, l'ail et les herbes. Badigeonner le saumon.\nSortir la plaque, pousser les légumes et déposer le saumon au centre.\nRemettre au four 12 à 15 minutes.\nServir sur un lit de riz.","","https://www.ricardocuisine.com/recettes/5539-saumon-aux-herbes-et-asperges-a-la-plaque","1"
"1","Jeudi","Déjeuner","Smoothie protéiné aux fruits","2 tasses (500 ml) de lait\n1 grosse banane mûre, congelée\n1.5 tasse (225 g) de petits fruits congelés\n2 grandes poignées d'épinards frais\n1/4 tasse (60 ml) de beurre d'amandes\nOptionnel : 1 c. à soupe de sirop d'érable","Placer tous les ingrédients dans un mélangeur (blender), liquides en premier.\nMélanger à haute vitesse jusqu'à l'obtention d'une texture lisse et onctueuse.\nServir immédiatement, accompagné d'une rôtie tartinée de beurre de noix.","","","1"
"1","Jeudi","Souper","Sauté de porc aux légumes","700 g de filet de porc, coupé en fines lanières\n1.5 c. à soupe d'huile végétale\n3 carottes, en julienne\n250 g de pois mange-tout\n3 gousses d'ail, hachées\n1.5 c. à soupe de gingembre frais, râpé\nPour la sauce :\n1/3 tasse (80 ml) de sauce soja\n3 c. à soupe de miel ou sirop d'érable\n1 c. à thé d'huile de sésame grillé\n1 c. à thé de fécule de maïs\n1.5 tasse (300g) de riz sec, à cuire pour servir","Préparer la sauce en fouettant tous ses ingrédients.\nDans un wok à feu vif, cuire les lanières de porc jusqu'à ce qu'elles soient dorées. Réserver.\nDans le même wok, sauter les carottes 2-3 minutes. Ajouter ail, gingembre et pois mange-tout, cuire 2 minutes.\nRemettre le porc. Verser la sauce et cuire en remuant jusqu'à ce que la sauce épaississe.\nServir sur du riz chaud.","","","1"
"1","Vendredi","Déjeuner","Œufs brouillés et kiwi","10 à 12 œufs\n1/3 tasse (80 ml) de lait\n1 c. à soupe de beurre\nSel et poivre\n10 tranches de pain pour rôties\n5 kiwis, pelés et tranchés","Préparer les œufs brouillés et les rôties.\nServir chaque assiette avec un kiwi frais, pelé et tranché.","","","1"
"1","Vendredi","Souper","Pizza maison sur pains naans","5 grands pains naans\n3/4 tasse (180 ml) de sauce à pizza\n3 tasses (750 ml) de fromage mozzarella, râpé\n150 g de pepperoni\n1.5 tasse de champignons, tranchés\n1 poivron orange, en dés","Préchauffer le four à 200°C (400°F).\nPlacer les pains naans sur une plaque. Étaler la sauce.\nGarnir de fromage, pepperoni, champignons et poivron.\nEnfourner 10 à 12 minutes, jusqu'à ce que le fromage soit bien fondu et doré.\nServir immédiatement.","","https://www.ricardocuisine.com/recettes/10387-pizzas-sur-pains-naans-au-barbecue","1"
